,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
4868,White,1,29.0,2.7,SE,-0.1,0.619642857143,1.0
4869,White,1,29.0,3.4,SE,-1.13,0.68630952381,0.0
4870,White,1,28.5,2.9,SE,0.41,0.63244047619,1.0
4872,White,2,39.0,2.5,SC,0.83,0.725595238095,0.0
4873,White,2,35.0,2.4,Mt,0.59,0.666071428571,1.0
4874,White,1,29.0,3.1,SC,0.01,0.657738095238,1.0
4875,White,2,30.0,3.0,SE,-0.79,0.660714285714,1.0
4876,White,2,29.0,3.5,SE,0.01,0.695833333333,1.0
4877,White,2,29.0,2.5,SE,0.32,0.600595238095,1.0
4878,White,2,32.0,3.6,SE,2.07,0.742857142857,1.0
4879,White,1,42.0,3.5,SE,2.07,0.858333333333,1.0
4880,White,2,37.0,2.6,SE,-0.48,0.710119047619,1.0
4881,White,1,28.5,2.9,FW,-0.28,0.63244047619,0.0
4882,White,2,38.0,2.3,SE,0.47,0.694047619048,1.0
4884,White,2,27.5,2.4,SE,-0.1,0.572321428571,1.0
4885,White,2,36.0,2.4,SE,0.05,0.678571428571,0.0
4888,White,2,31.0,2.8,MS,-0.64,0.654166666667,0.0
4889,White,2,31.0,3.0,MS,1.05,0.673214285714,1.0
4890,White,1,27.5,3.2,SE,1.52,0.648511904762,1.0
4891,Black,2,26.0,3.1,SE,-0.84,0.620238095238,0.0
4892,White,2,35.0,3.1,SE,0.74,0.732738095238,1.0
4893,White,2,30.0,3.1,SE,2.12,0.670238095238,1.0
4895,White,2,28.0,3.1,SC,0.83,0.645238095238,0.0
4896,White,2,29.5,3.6,SE,1.63,0.711607142857,1.0
4897,White,2,34.0,2.6,SE,1.16,0.672619047619,1.0
4898,White,2,29.0,2.9,SC,-0.28,0.63869047619,1.0
4900,White,2,28.0,3.6,SE,-1.01,0.692857142857,0.0
4901,White,2,31.0,3.1,MS,-0.37,0.682738095238,1.0
4903,White,1,29.3,3.1,SE,-0.95,0.661488095238,1.0
4904,White,2,36.0,2.5,GL,-1.13,0.688095238095,1.0
4905,White,2,27.5,3.1,SE,-0.41,0.638988095238,1.0
4906,White,2,28.5,2.5,SE,-1.44,0.594345238095,0.0
4910,White,2,28.5,3.1,NE,-0.41,0.651488095238,1.0
4912,White,2,20.0,3.1,SE,-0.95,0.545238095238,0.0
4913,White,1,29.0,2.7,SE,-0.33,0.619642857143,1.0
4915,White,1,32.5,3.0,MS,-0.28,0.691964285714,1.0
4916,White,2,31.0,3.4,SE,-0.7,0.71130952381,1.0
4917,White,2,35.0,2.6,MS,1.85,0.685119047619,0.0
4918,White,1,32.5,2.7,SE,-0.17,0.663392857143,0.0
4920,White,1,30.0,2.9,SE,-0.06,0.65119047619,0.0
4921,Black,1,17.0,3.3,SE,-0.44,0.526785714286,0.0
4922,White,2,32.0,3.5,SE,1.32,0.733333333333,1.0
4924,White,2,42.0,3.8,SE,0.7,0.886904761905,1.0
4925,White,1,27.0,3.2,SE,-0.21,0.642261904762,1.0
4926,White,2,40.0,4.0,SE,1.05,0.880952380952,1.0
4927,White,2,28.7,3.3,SE,0.43,0.673035714286,1.0
4928,White,2,30.0,2.6,MS,-0.41,0.622619047619,1.0
4929,White,1,26.0,3.6,SE,0.7,0.667857142857,1.0
4930,White,1,30.5,3.7,SE,-0.33,0.733630952381,1.0
4931,Amerindian,2,32.5,2.5,SE,-1.1,0.644345238095,1.0
4932,White,2,36.0,2.5,MS,-0.21,0.688095238095,0.0
4934,White,2,33.0,2.6,SE,-0.1,0.660119047619,1.0
4935,White,2,28.0,2.7,SE,-0.79,0.607142857143,1.0
4936,Black,2,31.0,3.6,GL,-0.26,0.730357142857,1.0
4937,White,1,25.0,3.7,SC,0.79,0.664880952381,0.0
4938,White,2,28.0,3.3,SE,0.59,0.664285714286,1.0
4940,White,2,42.0,3.4,SE,1.43,0.84880952381,1.0
4941,White,2,32.0,2.8,FW,0.21,0.666666666667,0.0
4942,White,2,31.0,2.7,SC,-0.1,0.644642857143,1.0
4943,Black,1,29.0,2.3,SC,-0.97,0.581547619048,1.0
4944,White,2,28.0,3.2,GL,0.74,0.654761904762,1.0
4945,White,2,34.0,2.9,SE,0.74,0.70119047619,1.0
4946,White,1,35.0,2.6,SE,-0.37,0.685119047619,0.0
4947,White,2,26.0,3.5,SE,0.43,0.658333333333,1.0
4948,White,2,34.3,2.8,MS,-0.21,0.695416666667,0.0
4949,White,2,29.0,2.4,SE,0.1,0.591071428571,1.0
4950,White,1,34.0,3.7,SE,2.39,0.777380952381,1.0
4951,White,1,34.0,2.5,SE,0.85,0.663095238095,1.0
4952,White,2,33.0,3.5,SE,1.21,0.745833333333,1.0
4953,White,2,31.0,3.3,SC,0.47,0.701785714286,1.0
4954,White,2,33.0,3.0,MS,0.7,0.698214285714,1.0
4955,White,2,34.0,3.1,MS,0.36,0.720238095238,1.0
4956,White,2,29.5,3.1,SE,0.1,0.663988095238,1.0
4957,White,1,37.0,3.7,SE,2.39,0.814880952381,1.0
4959,White,2,30.0,2.8,SE,0.25,0.641666666667,1.0
4960,White,1,27.0,4.0,MS,0.52,0.718452380952,1.0
4962,White,2,28.3,3.1,SE,0.32,0.648988095238,1.0
4964,White,2,36.0,2.7,MS,0.21,0.707142857143,0.0
4966,White,2,48.0,3.7,NE,1.82,0.952380952381,1.0
4968,White,1,46.0,3.8,MS,-0.25,0.936904761905,1.0
4969,White,2,48.0,3.7,FW,-1.36,0.952380952381,1.0
4970,Black,1,44.0,3.3,FW,-2.1,0.864285714286,1.0
4971,White,1,48.0,3.7,FW,1.47,0.952380952381,1.0
4972,White,1,48.0,3.9,SE,1.25,0.971428571429,1.0
4973,White,1,45.0,4.0,FW,0.43,0.943452380952,1.0
4974,White,2,47.0,4.0,NE,1.12,0.968452380952,1.0
4975,Black,1,39.0,3.4,NE,-0.75,0.81130952381,1.0
4976,White,2,47.0,3.9,NE,1.94,0.958928571429,1.0
4977,White,1,48.0,3.8,NG,-0.5,0.961904761905,0.0
4978,White,2,48.0,3.7,GL,0.89,0.952380952381,1.0
4979,Black,1,28.0,3.8,SE,-2.35,0.711904761905,1.0
4980,White,2,45.0,3.9,NG,-0.85,0.933928571429,1.0
4981,Black,2,33.0,3.2,GL,-1.24,0.717261904762,1.0
4982,White,2,40.0,3.8,SC,-0.38,0.861904761905,1.0
4983,White,2,46.0,3.9,NE,0.55,0.946428571429,1.0
4984,White,2,44.0,3.8,NE,1.59,0.911904761905,1.0
4985,White,2,42.0,4.0,GL,-1.08,0.905952380952,1.0
4986,Black,1,38.0,3.6,SE,-2.01,0.817857142857,1.0
4987,White,1,44.0,3.9,NE,1.47,0.921428571429,1.0
4988,White,1,43.0,3.7,NG,-0.25,0.889880952381,1.0
4989,White,1,43.0,4.0,FW,-0.47,0.918452380952,1.0
4991,White,2,45.0,3.8,Mt,-0.3,0.924404761905,1.0
4992,White,2,46.0,3.8,MS,0.53,0.936904761905,1.0
4993,Asian,1,47.0,3.7,NE,-0.47,0.939880952381,1.0
4994,Asian,1,43.0,4.0,FW,-2.35,0.918452380952,1.0
4996,Mexican,2,44.0,3.7,NE,-1.36,0.902380952381,1.0
4997,Black,1,43.0,3.3,NE,-1.13,0.851785714286,1.0
4998,White,2,47.0,3.8,NG,2.08,0.949404761905,1.0
4999,White,1,48.0,3.7,NG,-0.15,0.952380952381,1.0
5000,White,2,46.0,3.8,NE,-0.47,0.936904761905,1.0
5001,White,2,47.0,3.9,MW,-0.38,0.958928571429,1.0
5002,White,1,44.0,3.7,MS,0.86,0.902380952381,1.0
5004,White,1,42.0,3.9,MS,-1.52,0.896428571429,1.0
5005,Black,1,32.0,3.6,NG,-0.47,0.742857142857,1.0
5006,White,1,44.0,3.8,GL,1.03,0.911904761905,1.0
5007,White,1,46.0,3.9,FW,0.43,0.946428571429,1.0
5009,White,2,47.0,3.8,MS,0.09,0.949404761905,1.0
5010,White,1,44.0,3.7,NG,0.55,0.902380952381,1.0
5011,White,2,48.0,3.9,SE,-0.03,0.971428571429,1.0
5012,White,2,42.0,4.0,MS,0.14,0.905952380952,1.0
5013,White,2,48.0,3.9,NE,-0.73,0.971428571429,1.0
5014,Asian,1,44.0,3.7,FW,-0.19,0.902380952381,1.0
5015,White,2,44.0,3.7,NE,1.01,0.902380952381,1.0
5016,Hispanic,2,43.0,3.7,SC,-1.13,0.889880952381,1.0
5017,Asian,1,48.0,3.7,NE,0.2,0.952380952381,1.0
5018,Asian,2,48.0,3.9,FW,0.89,0.971428571429,1.0
5019,Hispanic,2,45.0,3.9,NE,-1.8,0.933928571429,1.0
5020,White,2,48.0,3.9,NE,0.08,0.971428571429,1.0
5021,White,2,47.0,4.0,FW,0.66,0.968452380952,1.0
5022,White,1,44.0,3.7,NG,-0.14,0.902380952381,1.0
5023,White,2,48.0,3.9,NE,1.94,0.971428571429,1.0
5024,White,2,44.0,3.7,NE,-0.03,0.902380952381,1.0
5025,White,2,47.0,3.9,FW,0.31,0.958928571429,1.0
5026,Black,1,40.0,2.9,NE,-0.91,0.77619047619,1.0
5028,White,2,48.0,3.8,NG,1.36,0.961904761905,1.0
5029,White,1,47.0,3.7,NE,-0.5,0.939880952381,1.0
5030,White,1,42.0,3.8,NE,-0.96,0.886904761905,1.0
5031,White,2,48.0,3.9,NE,-0.25,0.971428571429,1.0
5032,Asian,2,48.0,3.9,NG,1.75,0.971428571429,1.0
5033,Asian,2,46.0,3.8,NE,-1.24,0.936904761905,1.0
5034,White,1,45.0,3.8,MS,0.2,0.924404761905,1.0
5035,White,2,45.0,3.9,MS,-0.61,0.933928571429,1.0
5037,White,2,45.0,3.7,NE,-0.19,0.914880952381,1.0
5038,White,1,45.0,3.9,MS,-0.61,0.933928571429,1.0
5039,Hispanic,2,46.0,4.0,NE,0.2,0.955952380952,1.0
5040,White,2,47.0,3.7,NG,0.36,0.939880952381,1.0
5041,White,1,46.0,3.7,FW,0.75,0.927380952381,1.0
5042,White,2,48.0,3.8,NE,-0.61,0.961904761905,1.0
5044,White,2,48.0,3.5,NE,0.55,0.933333333333,1.0
5045,White,2,45.0,3.8,GL,0.31,0.924404761905,1.0
5046,White,2,45.5,3.9,NE,0.55,0.940178571429,1.0
5047,White,2,44.0,4.0,SE,-0.15,0.930952380952,1.0
5048,White,2,45.0,3.9,SC,0.14,0.933928571429,1.0
5049,White,1,45.0,3.8,FW,0.47,0.924404761905,1.0
5050,White,2,48.0,4.0,NG,1.94,0.980952380952,1.0
5051,White,2,47.0,3.9,SC,0.7,0.958928571429,1.0
5052,White,1,46.0,3.9,NG,0.86,0.946428571429,1.0
5053,White,1,45.0,3.7,NE,0.2,0.914880952381,1.0
5054,White,1,48.0,3.6,NG,0.14,0.942857142857,1.0
5055,Asian,2,44.0,3.6,SE,0.08,0.892857142857,1.0
5056,White,2,44.0,3.8,NE,0.55,0.911904761905,1.0
5057,Asian,1,44.0,3.9,GL,-0.61,0.921428571429,1.0
5060,White,1,43.0,3.9,NE,-0.38,0.908928571429,1.0
5061,White,1,48.0,3.8,MS,0.47,0.961904761905,1.0
5062,White,1,48.0,3.9,FW,1.08,0.971428571429,1.0
5063,White,1,45.0,3.8,NG,-0.15,0.924404761905,1.0
5064,White,2,47.0,4.0,FW,-0.8,0.968452380952,1.0
5065,White,2,48.0,4.0,FW,0.14,0.980952380952,1.0
5066,White,2,46.0,4.0,GL,-1.08,0.955952380952,1.0
5067,White,2,42.0,3.7,NE,1.7,0.877380952381,1.0
5068,White,1,40.0,3.9,GL,-1.08,0.871428571429,1.0
5069,White,1,48.0,4.1,NE,-0.96,0.990476190476,1.0
5070,White,2,47.0,4.0,NE,1.24,0.968452380952,1.0
5071,Black,1,33.5,3.3,NE,-1.89,0.733035714286,0.0
5072,White,2,43.0,4.0,FW,2.17,0.918452380952,1.0
5073,Asian,1,47.0,3.6,NG,1.25,0.930357142857,1.0
5074,Other,1,48.0,3.5,NE,-0.03,0.933333333333,1.0
5075,White,2,46.0,3.8,FW,-0.97,0.936904761905,1.0
5076,White,2,47.0,3.6,NG,-1.08,0.930357142857,1.0
5077,White,2,46.0,3.9,FW,1.31,0.946428571429,1.0
5078,White,1,42.0,4.0,SC,0.14,0.905952380952,1.0
5079,White,2,46.0,3.7,NE,-0.25,0.927380952381,1.0
5080,White,2,43.0,3.9,MS,0.08,0.908928571429,1.0
5081,White,1,47.0,4.0,NE,0.2,0.968452380952,1.0
5082,White,2,44.0,3.8,NE,0.89,0.911904761905,1.0
5083,White,1,43.0,3.9,NE,0.2,0.908928571429,1.0
5084,White,2,48.0,3.9,NE,2.28,0.971428571429,1.0
5085,White,1,36.0,2.9,NE,-0.5,0.72619047619,1.0
5086,Black,2,29.5,3.7,MS,-1.77,0.721130952381,1.0
5087,White,2,48.0,3.7,NG,0.75,0.952380952381,1.0
5088,White,2,48.0,3.9,NE,-0.15,0.971428571429,1.0
5089,Black,1,45.0,3.6,MS,-0.08,0.905357142857,1.0
5091,White,1,44.0,4.0,NG,-0.73,0.930952380952,1.0
5092,White,2,47.0,4.0,MS,1.47,0.968452380952,1.0
5093,Asian,2,45.0,3.6,NE,-0.58,0.905357142857,1.0
5094,White,1,48.0,4.0,MS,0.25,0.980952380952,1.0
5095,White,1,44.0,3.5,FW,-0.27,0.883333333333,1.0
5096,White,1,45.0,4.0,MS,0.42,0.943452380952,1.0
5097,White,2,44.0,3.7,NE,0.08,0.902380952381,1.0
5098,White,2,48.0,4.0,NE,1.64,0.980952380952,1.0
5100,White,1,39.3,3.7,FW,-0.78,0.843630952381,1.0
5101,White,1,40.0,3.5,FW,-0.63,0.833333333333,1.0
5102,White,2,47.0,3.4,FW,-1.16,0.91130952381,1.0
5103,White,1,42.0,3.8,FW,0.62,0.886904761905,1.0
5104,White,1,48.0,3.1,FW,-0.43,0.895238095238,1.0
5105,Asian,1,36.0,3.5,FW,-2.86,0.783333333333,0.0
5106,White,1,45.0,3.5,FW,0.84,0.895833333333,1.0
5107,White,1,45.0,3.2,FW,0.39,0.867261904762,1.0
5108,Mexican,2,40.0,2.7,FW,-0.21,0.757142857143,0.0
5109,Hispanic,2,36.0,3.4,FW,-2.16,0.77380952381,1.0
5110,White,2,46.0,3.2,FW,0.17,0.879761904762,1.0
5111,White,1,42.0,3.6,FW,1.12,0.867857142857,1.0
5112,White,2,47.0,3.1,FW,2.24,0.882738095238,1.0
5114,Asian,1,41.0,3.3,FW,1.39,0.826785714286,1.0
5115,Asian,1,43.0,3.5,FW,-0.86,0.870833333333,1.0
5116,Black,1,36.0,3.3,FW,0.04,0.764285714286,1.0
5117,Asian,1,42.0,3.3,FW,-0.11,0.839285714286,1.0
5118,White,1,38.0,3.7,FW,-1.03,0.827380952381,1.0
5121,Asian,1,38.0,3.3,FW,-0.98,0.789285714286,1.0
5123,White,1,40.0,3.6,FW,0.87,0.842857142857,1.0
5124,White,2,44.0,3.4,FW,-0.51,0.87380952381,1.0
5125,White,1,44.0,4.0,FW,-0.38,0.930952380952,1.0
5126,White,1,44.0,3.6,FW,-0.36,0.892857142857,1.0
5127,Other,2,39.0,3.8,FW,-0.23,0.849404761905,1.0
5128,White,1,40.0,3.5,FW,0.12,0.833333333333,1.0
5129,White,1,42.0,3.8,SE,-0.08,0.886904761905,1.0
5130,White,2,45.0,3.0,FW,0.54,0.848214285714,1.0
5131,White,2,42.0,3.4,FW,0.64,0.84880952381,1.0
5132,White,2,41.0,3.6,FW,0.54,0.855357142857,1.0
5134,White,1,42.0,3.9,FW,0.32,0.896428571429,1.0
5135,Asian,1,37.0,3.7,FW,-1.21,0.814880952381,1.0
5137,White,2,43.0,3.7,FW,-0.73,0.889880952381,1.0
5138,Other,2,39.0,4.0,FW,-1.86,0.868452380952,1.0
5139,White,1,44.0,3.3,NE,0.44,0.864285714286,1.0
5140,Asian,1,44.0,3.1,FW,-1.66,0.845238095238,1.0
5141,White,2,48.0,3.4,FW,1.04,0.92380952381,1.0
5142,White,1,40.0,4.0,FW,0.24,0.880952380952,1.0
5143,Asian,2,41.0,3.6,FW,0.17,0.855357142857,1.0
5145,White,2,42.0,3.5,FW,-0.86,0.858333333333,0.0
5146,Other,2,44.0,3.2,FW,0.47,0.854761904762,1.0
5147,White,2,42.0,3.4,Mt,-0.58,0.84880952381,1.0
5148,Black,2,40.0,2.5,FW,-0.78,0.738095238095,1.0
5149,White,2,43.0,3.4,FW,-1.33,0.86130952381,1.0
5151,White,2,43.0,3.2,SE,1.32,0.842261904762,1.0
5153,White,2,42.0,3.6,FW,-0.41,0.867857142857,1.0
5154,Asian,1,43.0,3.2,FW,-0.26,0.842261904762,1.0
5155,White,1,41.0,3.5,FW,1.22,0.845833333333,1.0
5156,White,1,36.0,4.0,FW,0.22,0.830952380952,1.0
5157,Hispanic,1,40.0,3.6,FW,-0.01,0.842857142857,1.0
5158,Amerindian,2,40.0,2.7,Mt,-0.46,0.757142857143,1.0
5159,Other,2,38.0,3.7,FW,-0.51,0.827380952381,1.0
5160,White,2,42.0,3.3,FW,1.04,0.839285714286,1.0
5161,White,1,40.0,3.7,FW,0.29,0.852380952381,1.0
5162,White,1,40.0,4.0,FW,0.59,0.880952380952,1.0
5163,Hispanic,2,40.0,3.1,FW,-1.03,0.795238095238,1.0
5164,White,1,40.0,3.4,FW,-0.18,0.82380952381,1.0
5165,White,2,42.0,3.6,FW,1.14,0.867857142857,1.0
5166,Other,1,42.0,3.1,FW,-0.33,0.820238095238,1.0
5167,White,2,42.0,3.7,NW,1.14,0.877380952381,1.0
5168,Asian,2,46.0,3.2,FW,0.42,0.879761904762,1.0
5169,White,2,45.0,3.3,SE,-1.28,0.876785714286,1.0
5171,Black,2,32.5,3.3,FW,-1.98,0.720535714286,0.0
5172,Black,1,38.0,3.6,FW,-0.56,0.817857142857,1.0
5174,White,2,46.0,3.4,FW,-0.03,0.89880952381,1.0
5175,White,1,42.0,3.3,FW,-0.41,0.839285714286,1.0
5176,White,1,43.0,3.5,FW,0.64,0.870833333333,1.0
5177,White,1,45.0,3.7,FW,1.59,0.914880952381,1.0
5178,White,2,43.0,3.6,FW,1.57,0.880357142857,1.0
5179,Asian,1,39.0,3.1,FW,-0.13,0.782738095238,1.0
5180,White,1,42.0,3.0,FW,0.17,0.810714285714,1.0
5181,Asian,2,38.0,3.3,FW,-0.16,0.789285714286,1.0
5182,White,1,36.0,3.5,FW,0.09,0.783333333333,1.0
5183,Asian,1,42.0,3.3,FW,0.54,0.839285714286,1.0
5184,White,2,45.0,3.3,FW,0.27,0.876785714286,1.0
5185,White,1,42.0,3.4,FW,0.62,0.84880952381,1.0
5186,White,2,43.0,3.0,FW,-0.71,0.823214285714,0.0
5187,Other,1,48.0,3.2,FW,0.87,0.904761904762,1.0
5188,White,1,46.0,3.3,FW,0.67,0.889285714286,1.0
5189,White,1,42.0,3.7,FW,1.22,0.877380952381,1.0
5190,White,1,40.0,3.4,FW,1.44,0.82380952381,1.0
5191,Asian,2,42.0,3.0,FW,-2.16,0.810714285714,0.0
5192,White,2,44.0,3.1,FW,-0.46,0.845238095238,1.0
5193,White,1,48.0,2.9,FW,0.69,0.87619047619,1.0
5194,White,1,44.0,3.0,FW,-0.06,0.835714285714,1.0
5195,White,2,44.0,3.4,FW,0.77,0.87380952381,1.0
5196,White,1,42.0,3.7,FW,0.87,0.877380952381,1.0
5197,White,2,42.0,3.5,FW,2.42,0.858333333333,1.0
5198,White,2,42.0,3.4,FW,-1.26,0.84880952381,1.0
5200,Mexican,2,37.0,2.9,FW,-0.18,0.73869047619,1.0
5201,White,2,41.0,3.8,FW,0.97,0.874404761905,1.0
5202,White,1,35.0,3.6,FW,-0.43,0.780357142857,1.0
5203,White,2,38.0,3.8,FW,0.74,0.836904761905,1.0
5204,Asian,1,41.0,3.2,FW,0.24,0.817261904762,1.0
5206,White,2,46.0,3.3,FW,1.42,0.889285714286,1.0
5207,White,2,46.0,3.3,FW,0.07,0.889285714286,1.0
5208,White,2,39.0,3.8,FW,-0.11,0.849404761905,1.0
5209,White,1,42.0,3.3,Mt,-0.08,0.839285714286,1.0
5210,White,2,46.0,3.1,FW,0.47,0.870238095238,1.0
5212,White,2,48.0,3.0,FW,0.62,0.885714285714,1.0
5213,White,1,42.0,3.4,FW,-1.13,0.84880952381,1.0
5214,White,1,41.0,3.6,FW,0.79,0.855357142857,1.0
5215,White,2,40.0,3.6,FW,0.72,0.842857142857,1.0
5216,Black,1,40.5,3.0,FW,-0.48,0.791964285714,1.0
5218,Asian,2,40.0,3.6,FW,0.29,0.842857142857,1.0
5220,Black,1,38.0,2.7,FW,-1.88,0.732142857143,1.0
5221,Mexican,2,37.0,3.0,FW,0.52,0.748214285714,1.0
5222,Amerindian,2,35.0,2.9,FW,-0.41,0.71369047619,1.0
5223,White,1,38.0,3.6,FW,-0.41,0.817857142857,1.0
5224,White,1,42.5,3.1,FW,-1.48,0.826488095238,1.0
5225,Other,2,43.0,3.2,FW,0.49,0.842261904762,1.0
5226,White,1,48.0,3.2,FW,0.72,0.904761904762,1.0
5228,White,1,45.0,3.5,FW,1.14,0.895833333333,1.0
5229,White,2,48.0,2.8,FW,1.04,0.866666666667,1.0
5230,Mexican,1,36.0,3.3,FW,-0.53,0.764285714286,1.0
5231,Other,2,39.5,3.4,FW,0.59,0.81755952381,1.0
5232,White,2,39.0,3.8,FW,-1.58,0.849404761905,1.0
5233,Hispanic,2,34.0,3.4,FW,-1.98,0.74880952381,0.0
5234,White,1,47.0,3.3,FW,0.17,0.901785714286,1.0
5235,White,1,40.0,3.4,FW,0.14,0.82380952381,1.0
5236,White,1,41.0,3.9,FW,0.89,0.883928571429,1.0
5237,White,1,45.0,3.4,FW,0.09,0.88630952381,1.0
5238,White,2,42.0,3.7,FW,1.32,0.877380952381,1.0
5239,Puertorican,2,41.0,3.1,FW,-1.16,0.807738095238,1.0
5240,White,2,47.0,3.7,FW,0.64,0.939880952381,1.0
5242,Mexican,2,46.0,2.7,FW,1.14,0.832142857143,1.0
5243,White,2,41.0,3.5,FW,0.44,0.845833333333,1.0
5244,White,2,40.0,3.6,FW,-0.16,0.842857142857,0.0
5245,Mexican,1,42.0,3.2,FW,1.39,0.829761904762,1.0
5246,Asian,1,29.0,3.4,FW,-0.63,0.68630952381,0.0
5247,White,2,45.0,3.4,FW,-0.31,0.88630952381,1.0
5249,Asian,2,35.0,3.0,FW,0.78,0.723214285714,1.0
5253,White,2,32.3,3.3,MS,0.27,0.718035714286,1.0
5256,White,1,34.0,3.3,NG,-0.54,0.739285714286,1.0
5258,White,2,35.0,2.8,GL,-0.71,0.704166666667,1.0
5260,White,2,36.0,3.3,GL,0.28,0.764285714286,1.0
5262,Hispanic,1,29.0,3.0,Mt,-0.29,0.648214285714,1.0
5263,White,1,38.0,3.1,GL,0.65,0.770238095238,1.0
5267,White,2,31.5,3.6,GL,-0.73,0.736607142857,1.0
5271,White,1,35.0,3.3,GL,-1.16,0.751785714286,1.0
5284,White,2,35.0,3.7,GL,0.94,0.789880952381,1.0
5288,White,1,40.0,3.0,NE,0.69,0.785714285714,1.0
5292,White,1,31.0,3.9,GL,0.12,0.758928571429,1.0
5293,White,2,38.0,3.1,MS,0.69,0.770238095238,1.0
5294,White,2,32.0,3.4,MS,0.2,0.72380952381,0.0
5296,White,1,36.0,3.0,Mt,-0.91,0.735714285714,1.0
5297,White,1,30.0,3.2,SC,0.24,0.679761904762,1.0
5299,White,1,41.0,3.0,MS,2.06,0.798214285714,1.0
5300,White,2,33.0,3.3,GL,-1.74,0.726785714286,1.0
5301,White,2,34.5,3.3,Mt,0.2,0.745535714286,1.0
5302,White,2,30.5,3.5,GL,-1.99,0.714583333333,1.0
5308,White,2,35.0,3.1,GL,0.16,0.732738095238,1.0
5310,White,1,34.0,3.4,GL,-1.41,0.74880952381,1.0
5313,White,2,37.0,3.2,GL,0.2,0.767261904762,1.0
5314,White,2,35.0,3.5,GL,-0.42,0.770833333333,1.0
5316,White,1,42.0,3.5,SC,-0.42,0.858333333333,1.0
5323,White,2,35.0,2.8,GL,-0.58,0.704166666667,1.0
5325,White,2,38.0,3.3,GL,-0.32,0.789285714286,1.0
5326,White,2,33.0,3.6,GL,0.08,0.755357142857,1.0
5333,White,1,39.0,3.3,GL,0.82,0.801785714286,1.0
5334,White,1,41.0,3.4,FW,1.93,0.83630952381,1.0
5335,White,2,35.0,3.1,MW,-1.45,0.732738095238,1.0
5337,White,1,37.0,2.8,NG,-0.5,0.729166666667,1.0
5340,White,1,35.0,3.1,GL,0.45,0.732738095238,1.0
5342,White,2,32.5,3.6,GL,-0.21,0.749107142857,1.0
5343,White,1,36.0,3.1,Mt,-1.28,0.745238095238,1.0
5347,White,1,34.5,3.2,GL,0.82,0.736011904762,1.0
5348,White,1,36.0,3.4,NE,-1.41,0.77380952381,1.0
5354,White,2,33.0,3.2,GL,0.08,0.717261904762,1.0
5355,White,2,36.0,3.4,GL,0.32,0.77380952381,1.0
5362,Amerindian,2,33.0,3.3,GL,-0.54,0.726785714286,1.0
5376,White,1,34.0,3.3,GL,-0.46,0.739285714286,1.0
5377,White,2,33.5,3.1,GL,-1.57,0.713988095238,1.0
5379,White,2,35.0,3.6,SC,0.41,0.780357142857,0.0
5381,White,2,34.0,3.4,Mt,-1.28,0.74880952381,1.0
5382,White,1,36.0,2.9,MS,-1.94,0.72619047619,0.0
5383,White,2,36.0,3.7,GL,0.36,0.802380952381,1.0
5384,White,2,38.0,3.0,NG,-2.03,0.760714285714,0.0
5385,White,2,26.5,2.4,MS,-2.31,0.559821428571,0.0
5387,White,2,36.0,3.2,GL,0.2,0.754761904762,1.0
5388,White,2,35.3,3.1,GL,-1.61,0.736488095238,1.0
5396,White,1,33.0,3.5,MS,-0.05,0.745833333333,0.0
5399,White,2,35.0,3.0,NG,0.45,0.723214285714,1.0
5403,White,2,33.0,3.1,GL,-0.05,0.707738095238,1.0
5405,White,1,39.0,3.5,MW,0.39,0.820833333333,1.0
5407,White,2,38.0,2.6,MW,-0.62,0.722619047619,1.0
5408,White,1,38.0,3.2,MW,-0.01,0.779761904762,1.0
5409,White,2,36.0,2.9,MW,0.46,0.72619047619,1.0
5410,White,2,37.0,3.4,MW,1.11,0.78630952381,1.0
5411,White,2,40.0,2.4,MW,0.1,0.728571428571,1.0
5412,White,2,35.0,3.6,GL,0.93,0.780357142857,1.0
5413,White,1,35.0,2.8,MW,-0.55,0.704166666667,1.0
5414,Black,1,25.0,2.5,MW,-1.13,0.550595238095,1.0
5416,White,2,31.0,2.8,MW,0.68,0.654166666667,1.0
5417,White,2,32.0,2.1,Mt,-0.55,0.6,0.0
5418,White,2,38.0,3.1,MW,-0.34,0.770238095238,1.0
5420,White,2,38.0,3.3,GL,2.16,0.789285714286,1.0
5421,White,2,46.0,2.9,MW,0.79,0.85119047619,1.0
5422,White,1,42.0,3.9,MW,0.61,0.896428571429,1.0
5423,White,1,36.0,3.4,MW,-0.08,0.77380952381,1.0
5424,White,1,34.0,3.8,GL,0.68,0.786904761905,1.0
5425,White,1,33.0,3.5,SE,0.32,0.745833333333,1.0
5426,White,2,39.0,3.2,MW,0.35,0.792261904762,1.0
5428,White,2,36.0,2.9,MW,-0.12,0.72619047619,1.0
5429,White,2,42.0,3.5,MW,0.79,0.858333333333,1.0
5430,White,1,36.0,3.4,MW,0.82,0.77380952381,1.0
5431,White,1,38.0,3.0,MW,0.14,0.760714285714,1.0
5433,Black,1,25.0,2.4,MW,-2.29,0.541071428571,1.0
5436,White,2,36.0,3.7,MW,0.82,0.802380952381,1.0
5437,White,2,42.0,3.8,MW,1.8,0.886904761905,1.0
5438,White,2,32.0,3.4,GL,0.93,0.72380952381,1.0
5439,White,2,36.0,2.6,SE,1.01,0.697619047619,0.0
5441,White,2,36.0,3.2,MW,-0.92,0.754761904762,1.0
